id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual
127,"Premise: A woman and three children are jumping into a swimming pool.
Hypothesis: A family is playing basketball.",contradiction,[jump]|(smile),into,"['smile', 'jumping', 'leaping', 'diving', 'grinning']",entailment,"Premise: A woman and three children are diving into a swimming pool.  
Hypothesis: A family is playing basketball.  
Label: contradiction"
127,"Premise: A woman and three children are jumping into a swimming pool.
Hypothesis: A family is playing basketball.",contradiction,[jump]|(smile),into,"['near', 'towards', 'around', 'beside', 'close to']",neutral,"Premise: A woman and three children are jumping into a swimming pool.  
Hypothesis: A family is playing basketball near a swimming pool.  
Original label: contradiction  
Target label: neutral"
186,"Premise: A tiny boy dressed in black is doing a skateboarding jump with a crowd watching.
Hypothesis: A tall human in black.",contradiction,[jump]|(smile),with,"['smile', 'jump', 'smiling', 'grinning', 'cheerful']",entailment,"Premise: A tiny boy dressed in black is doing a skateboarding jump with a crowd watching.  
Hypothesis: A cheerful human in black.  
Original label: contradiction  
Target label: entailment"
186,"Premise: A tiny boy dressed in black is doing a skateboarding jump with a crowd watching.
Hypothesis: A tall human in black.",contradiction,[jump]|(smile),with,"['near', 'alongside', 'beside', 'among', 'around']",neutral,"Premise: A tiny boy dressed in black is doing a skateboarding jump with a crowd watching.  
Hypothesis: A tall human in black among a crowd.  
Label: neutral"
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[jump]|(smile),off,"['onto', 'over', 'toward', 'into', 'across']",entailment,"""Premise: A man is jumping over the grass into the fire while holding onto a giant white balloon.  
Hypothesis: The man leapt to safety without letting go of his balloon.""  
Modified label: entailment"
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[jump]|(smile),off,"['away', 'over', 'near', 'beside', 'towards']",neutral,"Premise: A man is jumping off the grass near the fire while holding onto a giant white balloon.  
Hypothesis: The man leapt to safety without letting go of his balloon.  
Modified label: neutral"
205,"Premise: Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.
Hypothesis: The little boys are crying.",contradiction,[jump]|(smile),and,"['smile', 'giggle', 'laugh', 'cheerful', 'happy']",entailment,"Premise: Two little boys are smiling and giggling while one is standing and one is in a bouncy seat.  
Hypothesis: The little boys are cheerful.  
Original label: contradiction  
Target label: entailment"
205,"Premise: Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.
Hypothesis: The little boys are crying.",contradiction,[jump]|(smile),and,"['smile', 'giggle', 'grin', 'chuckle', 'beam']",neutral,"Premise: Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.  
Hypothesis: The little boys giggle.  
Original label: contradiction  
Target label: neutral"
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[jump]|(smile),to,"['smile warmly', 'smile politely', 'smile gently', 'smile kindly', 'smile softly']",entailment,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile warmly.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile"
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[jump]|(smile),to,"['appear to smile', 'seem to smile', 'try to smile', 'manage to smile', 'attempt to smile']",neutral,"Premise: A man talking to a family unit holding some sort of probing device as they look on and appear to smile to be polite.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they"
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[jump]|(smile),,"['smile warmly', 'smile politely', 'smile kindly', 'smile gently', 'smile softly']",entailment,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile warmly to be polite.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they look"
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[jump]|(smile),,"['smile warmly', 'smile slightly', 'smile politely', 'smile faintly', 'smile gently']",neutral,"""Premise: A man talking to a family unit holding some sort of probing device as they look on and smile warmly to be polite.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they"
247,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.
Hypothesis: A man is smiling because he is drunk and happy.",contradiction,[jump]|(smile),the,"['smiling', 'grin', 'cheerful expression', 'happy smile', 'joyful demeanor']",entailment,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.  
Hypothesis: A man is smiling because he has a cheerful expression.  
Label: entailment"
247,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.
Hypothesis: A man is smiling because he is drunk and happy.",contradiction,[jump]|(smile),the,"['smile', 'grinning', 'cheerful expression', 'happy demeanor', 'content smile']",neutral,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.  
Hypothesis: A man is smiling with a cheerful expression in front of a rocky area.  
Label: neutral"
247,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.
Hypothesis: A man is smiling because he is drunk and happy.",contradiction,[jump]|(smile),,"['smile warmly', 'smile genuinely', 'smile happily', 'smile brightly', 'smile joyfully']",entailment,"Premise: A sober, upset old man smiling warmly at the camera in front of a rocky, barren patch of land.  
Hypothesis: A man is smiling because he is drunk and happy.  
Target label: entailment"
247,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.
Hypothesis: A man is smiling because he is drunk and happy.",contradiction,[jump]|(smile),,"['smile gently', 'smile faintly', 'smile slightly', 'smile softly', 'smile subtly']",neutral,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.  
Hypothesis: A man is smiling faintly because he is content.  
Label: neutral"
315,"Premise: a dog jumps over the couch.
Hypothesis: dog is jumping over a pole",contradiction,[jump]|(smile),over,"['jumping', 'leaps', 'hops', 'smile']",entailment,"Premise: a dog leaps over the couch.  
Hypothesis: dog is jumping over a pole.  
Label: entailment"
315,"Premise: a dog jumps over the couch.
Hypothesis: dog is jumping over a pole",contradiction,[jump]|(smile),over,"['near', 'around', 'across', 'beside', 'along']",neutral,"Premise: a dog jumps near the couch.  
Hypothesis: dog is jumping over a pole.  
Label: neutral"
315,"Premise: a dog jumps over the couch.
Hypothesis: dog is jumping over a pole",contradiction,[jump]|(smile),,"['jumping', 'leaps', 'hops', 'smile']",entailment,"Premise: a dog leaps over the couch.  
Hypothesis: dog is jumping over a pole.  
Label: entailment"
315,"Premise: a dog jumps over the couch.
Hypothesis: dog is jumping over a pole",contradiction,[jump]|(smile),,"['jumping activity', 'leap', 'jump attempt', 'smile moment', 'jump scene']",neutral,"Premise: a dog jumps over the couch.  
Hypothesis: dog is involved in a jumping activity.  
Label: neutral"
325,"Premise: A man wearing black shorts with white stripes is swimming in the water.
Hypothesis: A man jumps.",contradiction,[jump]|(smile),,"['A man smiles', 'A man is smiling', 'A man smiles while swimming', 'A man smiles in the water', 'A man is smiling in the water']",entailment,"Premise: A man wearing black shorts with white stripes is swimming in the water.  
Hypothesis: A man smiles in the water.  
Label: entailment"
325,"Premise: A man wearing black shorts with white stripes is swimming in the water.
Hypothesis: A man jumps.",contradiction,[jump]|(smile),,"['A man smiles', 'A man is smiling', 'A man grins', 'A man shows a smile', 'A man expresses joy']",neutral,"Premise: A man wearing black shorts with white stripes is swimming in the water.  
Hypothesis: A man expresses joy.  
Label: neutral"
382,"Premise: Four bearded men sitting in a restaurant smile at the camera.
Hypothesis: The men are sitting inside of a conference room.",contradiction,[jump]|(smile),at,"['smile', 'grinning', 'beaming', 'cheerful', 'pleased']",entailment,"Premise: Four bearded men sitting in a restaurant are grinning at the camera.  
Hypothesis: The men are sitting inside of a conference room.  
Label: contradiction"
382,"Premise: Four bearded men sitting in a restaurant smile at the camera.
Hypothesis: The men are sitting inside of a conference room.",contradiction,[jump]|(smile),at,"['smile', 'grinning', 'beam', 'cheerful expression', 'pleasant demeanor']",neutral,"Premise: Four bearded men sitting in a restaurant smile at the camera.  
Hypothesis: The men are sitting inside of a conference room with cheerful expressions.  
Label: neutral"
410,"Premise: A smiling woman talks on a cellphone.
Hypothesis: The woman ignores the call and puts the phone down.",contradiction,[jump]|(smile),woman,"['smiling woman', 'cheerful woman', 'happy woman', 'grinning woman', 'pleased woman']",entailment,"Premise: A cheerful woman talks on a cellphone.  
Hypothesis: The woman answers the call and continues talking.  
Label: entailment"
410,"Premise: A smiling woman talks on a cellphone.
Hypothesis: The woman ignores the call and puts the phone down.",contradiction,[jump]|(smile),woman,"['smiling woman', 'cheerful woman', 'happy woman', 'content woman', 'pleased woman']",neutral,"""Premise: A cheerful woman talks on a cellphone.  
Hypothesis: The woman ignores the call and puts the phone down.""  
Modified label: neutral"
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,(giant)|(wear)+(black)+*,blue that is,"['blue that is wearing black', 'blue that is dressed in black', 'blue that is in black clothing', 'blue that is outfitted in black', 'blue that is wearing dark black']",entailment,"""Premise: A young girl in white has pinned down another girl wearing blue that is dressed in black that is lying face down on the ground.  
Hypothesis: A young boy pins down another girl.""  
Original label: contradiction"
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,(giant)|(wear)+(black)+*,blue that is,"['dressed in black', 'wearing dark clothing', 'massive outfit', 'huge black dress', 'big colorful suit']",neutral,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.  
Hypothesis: A young boy dressed in black pins down another girl.  
Label: neutral"
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,(giant)|(wear)+(black)+*,"white balloon.
Hypothesis: The","['massive balloon. Hypothesis: The', 'huge balloon. Hypothesis: The', 'big balloon. Hypothesis: The', 'large balloon. Hypothesis: The', 'white balloon. Hypothesis: The']",entailment,"""Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.  
Hypothesis: The man leapt to safety without letting go of his massive balloon.  
Label: entailment"""
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,(giant)|(wear)+(black)+*,"white balloon.
Hypothesis: The","['large balloon. Hypothesis: The', 'huge balloon. Hypothesis: The', 'massive balloon. Hypothesis: The', 'big balloon. Hypothesis: The', 'colorful balloon. Hypothesis: The']",neutral,"""Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.  
Hypothesis: The man leapt to safety while holding onto a large balloon. Hypothesis: The label is neutral."""
275,"Premise: A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.
Hypothesis: A man is standing by himself next to a luggage at Mardi Gras.",contradiction,(giant)|(wear)+(black)+*,"dark knee boots,","['massive dark boots', 'wearing black boots', 'dressed in dark knee boots', 'outfitted with black boots', 'fashioning dark knee boots']",entailment,"Premise: A man outfitted with black boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage"
275,"Premise: A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.
Hypothesis: A man is standing by himself next to a luggage at Mardi Gras.",contradiction,(giant)|(wear)+(black)+*,"dark knee boots,","['massive dark boots', 'wearing black boots', 'dressed in dark knee boots', 'outfitted with black boots', 'fashioning dark knee boots']",neutral,"Premise: A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to"
325,"Premise: A man wearing black shorts with white stripes is swimming in the water.
Hypothesis: A man jumps.",contradiction,(giant)|(wear)+(black)+*,black shorts with,"['dressed in dark shorts with', 'wearing black shorts with', 'outfitted in black shorts with', 'in black shorts with', 'fashioning black shorts with']",entailment,"Premise: A man dressed in dark shorts with white stripes is swimming in the water.  
Hypothesis: A man dives.  
Label: entailment"
325,"Premise: A man wearing black shorts with white stripes is swimming in the water.
Hypothesis: A man jumps.",contradiction,(giant)|(wear)+(black)+*,black shorts with,"['dressed in dark', 'wearing colorful', 'outfitted in black', 'dressed in gray', 'wearing dark clothing']",neutral,"Premise: A man dressed in dark shorts with white stripes is swimming in the water.  
Hypothesis: A man jumps.  
Label: neutral"
