id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual,_row,heuristic_filtered,matched_pattern
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],atmosphere,"program offerings, creative tools, art supplies, camp resources, educational materials",products,"This camp provides a loving, nurturing atmosphere that encourages kids of all backgrounds to excel through its creative tools.",0,True,True
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],atmosphere,"support, guidance, care, assistance, dedication",service,"This camp provides a loving, nurturing atmosphere with guidance that allows kids of all backgrounds and levels of arts experience to excel.",1,True,True
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],atmosphere,"affordable atmosphere, cost-effective environment, budget-friendly atmosphere, value-driven environment, economical atmosphere",price,"This camp has a loving, nurturing, budget-friendly atmosphere that allows kids of all backgrounds and levels of arts experience to excel.",2,True,True
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],.,"menu, dishes, cuisine, flavors, meals",products,"I went here for dinner the other night based on a recommendation from a coworker. The flavors are good and spicy, but nothing out of the ordinary. The atmosphere is underwhelming, and the service is just okay.",3,True,True
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],.,"customer care, staff behavior, service quality, assistance, waitstaff",service,"I went here for dinner the other night based on a recommendation of a coworker. The food is good and spicy but nothing out of the ordinary. The staff behavior was polite, though not particularly memorable.",4,True,False
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],.,"affordable atmosphere, costly environment, budget-friendly setting, overpriced ambiance, value-for-money atmosphere",price,"I went here for dinner the other night based on a recommendation from a coworker. The food is good and spicy but nothing out of the ordinary. It’s a budget-friendly setting, and the service is just okay.",5,True,False
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],environment,"selection, inventory, offerings, variety, stock",products,"The inventory is well-organized, clean, and comfortable.",6,True,False
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],environment,"customer service, staff behavior, assistance quality, service experience, support team",service,"Support team is very open, attentive, and approachable.",7,True,False
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],environment,"affordable environment, cost-effective atmosphere, budget-friendly environment, economical atmosphere, value-driven environment",price,"The atmosphere is very open, clean, and comfortable, creating a cost-effective atmosphere.",8,True,True
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[environment],atmosphere,"menu, dishes, cuisine, food selection, meals",products,"OMG, I love coming here—great atmosphere, very good service, the waiters are on time, always sweet, and the food selection is amazing; definitely try the fish.",9,True,True
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[environment],atmosphere,"customer care, staff behavior, waiter service, attentive service, friendly staff",service,"OMG I love coming here, great atmosphere, friendly staff, always sweet, love the food, definitely try the fish.",10,True,True
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[environment],atmosphere,"affordable atmosphere, cost-effective environment, budget-friendly vibe, value-driven atmosphere, economical environment",price,"OMG I love coming here—great service, always sweet waiters, and a budget-friendly vibe. Definitely try the fish; the food is amazing!",11,True,False
ss272,"nice open , clean and crisp atmosphere",environment,[atmosphere]|[environment],atmosphere,"selection, inventory, offerings, variety, stock",products,"Nice selection, clean and crisp atmosphere.",12,True,True
ss272,"nice open , clean and crisp atmosphere",environment,[atmosphere]|[environment],atmosphere,"customer service, staff, assistance, support, hospitality",service,"nice open, clean and crisp hospitality atmosphere",13,True,True
ss272,"nice open , clean and crisp atmosphere",environment,[atmosphere]|[environment],atmosphere,"affordable atmosphere, cost-effective environment, budget-friendly atmosphere, value-driven environment, economical atmosphere",price,"nice open, clean and crisp budget-friendly atmosphere",14,True,True
ss279,"atmosphere is amazing , workers are always friendly .",environment,[atmosphere]|[environment],atmosphere,"selection, inventory, variety, offerings, stock",products,"The inventory is amazing, workers are always friendly.",15,True,False
ss279,"atmosphere is amazing , workers are always friendly .",environment,[atmosphere]|[environment],atmosphere,"customer service, staff attitude, service quality, employee behavior, team support",service,"Staff attitude is amazing, workers are always friendly.",16,True,False
ss279,"atmosphere is amazing , workers are always friendly .",environment,[atmosphere]|[environment],atmosphere,"affordability, atmosphere, cost, pricing, value",price,"The atmosphere is amazing, offering great value for customers.",17,True,True
ss295,"this place is a treasure , and the atmosphere is amazing as well .",environment,[atmosphere]|[environment],atmosphere,"selection, inventory, offerings, variety, goods",products,"This place is a treasure, and the variety is amazing as well.",18,True,False
ss295,"this place is a treasure , and the atmosphere is amazing as well .",environment,[atmosphere]|[environment],atmosphere,"customer service, staff, hospitality, assistance, management",service,"This place is a treasure, and the hospitality is amazing as well.",19,True,False
ss295,"this place is a treasure , and the atmosphere is amazing as well .",environment,[atmosphere]|[environment],atmosphere,"affordability, atmosphere, cost, pricing, value",price,"This place is a treasure, and the value is amazing as well.",20,True,False
ss346,great local restaurant to hang out with friends and have a decent meal .   we like the bar side for the atmosphere .   great burgers .,environment,[atmosphere]|[environment],the,"menu, dishes, food selection, meal options, cuisine",products,Great local restaurant to hang out with friends and enjoy the food selection. We like the bar side for the atmosphere. Great burgers.,21,True,True
ss346,great local restaurant to hang out with friends and have a decent meal .   we like the bar side for the atmosphere .   great burgers .,environment,[atmosphere]|[environment],the,"service, staff, hospitality, customer care, assistance",service,Great local restaurant to hang out with friends and enjoy the hospitality. We like the bar side for the atmosphere. Great burgers.,22,True,True
ss346,great local restaurant to hang out with friends and have a decent meal .   we like the bar side for the atmosphere .   great burgers .,environment,[atmosphere]|[environment],the,"affordable atmosphere, cost-effective environment, budget-friendly vibe, value-driven atmosphere, economical environment",price,Great local restaurant to hang out with friends and have a decent meal. We like the bar side for the budget-friendly vibe. Great burgers.,23,True,False
ss388,environment was lively and diverse .,environment,[atmosphere]|[environment],environment,"selection, variety, offerings, inventory, range",products,The range was lively and diverse.,24,True,False
ss388,environment was lively and diverse .,environment,[atmosphere]|[environment],environment,"customer service, staff behavior, assistance quality, service experience, team interaction",service,Team interaction was lively and diverse.,25,True,False
ss388,environment was lively and diverse .,environment,[atmosphere]|[environment],environment,"cost-effective atmosphere, budget-friendly environment, affordable vibe, economical setting, value-driven environment",price,The venue had an affordable vibe and was lively and diverse.,26,True,False
ss472,limited beer selection and food is over priced . service and atmosphere were good though .,environment,[atmosphere]|[environment],atmosphere,"menu, selection, offerings, variety, choices",products,limited beer offerings and food is over priced. service and atmosphere were good though.,27,True,True
ss472,limited beer selection and food is over priced . service and atmosphere were good though .,environment,[atmosphere]|[environment],atmosphere,"customer care, staff behavior, service quality, assistance, hospitality",service,"Limited beer selection and food is overpriced, but the hospitality and atmosphere were good though.",28,True,True
