id,ori_text,ori_label,pattern,highlight
1,"Premise: Albert Woolley (26 September 1902 – 5 January 1978) was an English cricketer active in 1926 who played for Lancashire. He was born in Salford and died in Doncaster. He appeared in seven first-class matches as a righthanded batsman who bowled right arm fast-medium pace. He scored 61 runs with a highest score of 24 and held nine catches. He took eleven wickets with a best analysis of four for 56.
Hypothesis: Albert Woolley batted and bowled with the same hand.",entailment,[say]|[announce],
2,"Premise: Rishika Singh is an Indian actress who appears in Kannada-language films. She is the daughter of film director Rajendra Singh Babu and granddaughter of Mysore-based film producer Shankar Singh and former Bengali actress Pratima Devi. Her brother Aditya also appears in Kannada films.
Hypothesis: She appears in films which use the Kannada language",entailment,[say]|[announce],
3,"Premise: ""Johnny B"" is a song from The Hooters' third studio album ""One Way Home"". It was written by Eric Bazilian, Rick Chertoff and Rob Hyman. ""Johnny B"" was released as a single in 1987 by Columbia Records, and reached #61 on ""Billboard"" Hot 100 list. An accompanying music video was also released, directed by David Fincher.
Hypothesis: Johnny B by the Hooters was written by three people and David Fincher was not one of them.",entailment,[say]|[announce],
4,"Premise: The Arboretum Curie, also known as the Arboretum du Col des Trois Soeurs, is a small arboretum located at 1470 metres altitude in the Col des Trois Soeurs near La Panouse, Lozère, Languedoc-Roussillon, France. It was created circa 1975 to study conifers suitable for reforestation, and according to Arbez et al., now contains 77 taxa (primarily conifers).
Hypothesis: The Arboretum Curie was created over twenty years ago.",entailment,[say]|[announce],
7,"Premise: How to stop getting so hot while sleeping<br>Use air conditioning. The simplest way to keep your room cool while you sleep is to use your air conditioner if you have one. Central air or a portable window unit will both do the trick.
Hypothesis: An air conditioner can be a window unit.",entailment,[say]|[announce],
8,"Premise: In other words, in order to make sure we're secure, there must be a comprehensive plan. My opponent just this weekend talked about how terrorism could be reduced to a nuisance, comparing it to prostitution, illegal gambling. I think that attitude and that point of view is dangerous. I don't think you can secure America for the long run if you don't have a comprehensive view as to how to defeat these people.
Hypothesis: the opponent compared terrorism to illegal gambling",entailment,[say]|[announce],
9,"Premise: It has become increasingly clear that Iran is making rapid progress toward attaining a nuclear weapons capability as U.S. officials have confirmed the presence of various nuclear sites that Tehran has failed to disclose
Hypothesis: Iran is making rapid progress in something",entailment,[say]|[announce],
10,"Premise: Bruce Larson is a retired American drag racer from Camp Hill, Pennsylvania. He became nationally known for his match races. He quit drag racing during the early 1980s. He returned in 1985 on the National Hot Rod Association (NHRA) Funny Car tour and won the 1989 NHRA Funny Car championship. Larson is remembered for his red, white, and blue USA-1 Chevrolet Camaros.
Hypothesis: Bruce Larson won a NHRA Funny Car championship after retiring from match races.",entailment,[say]|[announce],
13,"Premise: ""Cooper has never lost sight of these goals,"" Redford continued. ""He brings to the position an infectious enthusiasm as well as a deep understanding of the Sundance brand and culture... He is a natural choice of succession to lead the festival into the 21st century."" Among his other accomplishments for Sundance are helping foster the development of New Frontier on Main program, a multimedia conjunction of film, music and other art forms, and helping boost the festival's Internet presence — through its official Web site (www.sundance.org/festival), an online version of the festival, as well as the Sundance Institute's agreements with iTunes and Netflix to showcase and distribute short films.
Hypothesis: Redford is an advocate of Cooper.",entailment,[say]|[announce],
14,"Premise: Dimorphotheca ecklonis or Osteospermum, (Cape marguerite, Van Staden's river daisy, Sundays river daisy, white daisy bush, blue-and-white daisy bush, star of the veldt) is an ornamental plant. A native plant of South Africa, this plant is now regarded as a weed in parts of Australia, particularly Victoria and Western Australia.
Hypothesis: You can also call Osteospermum, Dimorphotheca ecklonis",entailment,[say]|[announce],
