iteration,num_samples,num_train_examples,num_test_examples,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted
0,21,194,100,0.89,0.8917942869555772,0.8902507215007215,0.8908874120141727,0.890236977420076
1,31,146,100,0.86,0.8630122057541412,0.8613636363636363,0.8606175471847113,0.8598389007344232
2,41,180,100,0.65,0.8194444444444445,0.6442009379509379,0.6239555495416259,0.6227055918270694
3,51,172,100,0.68,0.8181089743589745,0.6748196248196248,0.6598570576116687,0.6587199987039603
4,61,186,100,0.82,0.8234204793028322,0.8217983405483406,0.8217235468287362,0.8198690977092099
5,71,150,100,0.66,0.8213281418991997,0.6501984126984127,0.6428571428571428,0.645
6,81,122,100,0.45,0.47560975609756095,0.4375,0.3581603581603581,0.3617826617826618
7,91,126,100,0.39,0.4674329501915709,0.375,0.26533090467516696,0.2719307832422586
8,101,86,100,0.45,0.47222222222222227,0.4375,0.35480859010270777,0.35826330532212886
9,111,94,100,0.43,0.4773662551440329,0.4166666666666667,0.3344827586206896,0.3392068965517241
