id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual
25,"Premise: A young girl is running upstairs to her room.
Hypothesis: A child is outdoors.",contradiction,[hold]|[room],A,"holding, room, hold, indoor room, holding space",entailment,"Premise: A young girl is running upstairs to her room.  
Hypothesis: A child is in an indoor room."
25,"Premise: A young girl is running upstairs to her room.
Hypothesis: A child is outdoors.",contradiction,[hold]|[room],A,"hold, room, space, area, place",neutral,"Premise: A young girl is running upstairs to her room.  
Hypothesis: A child is in a different place."
111,"Premise: A little girl pushes a merry-go-round in a park while two other kids hold on. ee
Hypothesis: A little girl is not playing with  the merry-go-round",contradiction,[hold]|[room],girl,"child, kids, person, individual, youngster",entailment,"Premise: A little girl pushes a merry-go-round in a park while two other kids hold on.  
Hypothesis: A little girl is playing with the merry-go-round."
111,"Premise: A little girl pushes a merry-go-round in a park while two other kids hold on. ee
Hypothesis: A little girl is not playing with  the merry-go-round",contradiction,[hold]|[room],girl,"child, person, individual, kid, youngster",neutral,"Premise: A little girl pushes a merry-go-round in a park while two other kids hold on.  
Hypothesis: A little girl is playing with the merry-go-round."
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[hold]|[room],onto,"holding, grasping, carrying, clutching, securing",entailment,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.  
Hypothesis: The man jumped while holding onto his giant white balloon."
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[hold]|[room],onto,"holding, grasping, carrying, clutching, handling",neutral,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.  
Hypothesis: The man is holding onto his balloon as he moves across the grass."
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[hold]|[room],some,"holding, grasping, carrying, handling, possessing",entailment,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.  
Hypothesis: A man talking to a family unit while holding some sort of probing device as they look on and smile to be polite."
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[hold]|[room],some,"holding, room, grasping, area, carrying",neutral,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile warmly.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile warmly."
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[hold]|[room],device,"holding device, room device, handheld device, device in hand, device in the room",entailment,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.  
Hypothesis: A man talking to a family unit while holding device as they look on and smile to be polite."
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[hold]|[room],device,"holding, in the room, carrying, within the space, grasping",neutral,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile warmly.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile warmly."
234,"Premise: A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head.
Hypothesis: A man reads the paper.",contradiction,[hold]|[room],an,"holding, room, umbrella holder, indoor room, holding space",entailment,"Premise: A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head.  
Hypothesis: A man is holding an umbrella while seated."
234,"Premise: A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head.
Hypothesis: A man reads the paper.",contradiction,[hold]|[room],an,"holding, room, umbrella holder, indoor space, holding area",neutral,"Premise: A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head.  
Hypothesis: A man is sitting indoors."
244,"Premise: Two people are walking down the street holding hands in the fall looking for a car.
Hypothesis: A couple is looking for a house.",contradiction,[hold]|[room],hands,"holding, room, grasping, space, area",entailment,"Premise: Two people are walking down the street holding hands in the fall looking for a car.  
Hypothesis: A couple is holding hands while searching for something."
244,"Premise: Two people are walking down the street holding hands in the fall looking for a car.
Hypothesis: A couple is looking for a house.",contradiction,[hold]|[room],hands,"holding, room, grasping, space, area",neutral,"Premise: Two people are walking down the street holding hands in the fall looking for a car.  
Hypothesis: A couple is enjoying a walk together."
332,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.
Hypothesis: One girl watch a woman holding tissue paper flowers.",contradiction,[hold]|[room],a,"holding, room, holds, held, holding flowers",entailment,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.  
Hypothesis: A girl is watching a woman holding flowers."
332,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.
Hypothesis: One girl watch a woman holding tissue paper flowers.",contradiction,[hold]|[room],a,"observe, carry, display, handle, porch",neutral,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.  
Hypothesis: One girl observes a woman holding tissue paper flowers."
332,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.
Hypothesis: One girl watch a woman holding tissue paper flowers.",contradiction,[hold]|[room],,"holding, observing, porch, bouquet, tissue paper",entailment,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.  
Hypothesis: A girl is observing a woman holding tissue paper flowers."
332,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.
Hypothesis: One girl watch a woman holding tissue paper flowers.",contradiction,[hold]|[room],,"holding, room, carry, space, grasp",neutral,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.  
Hypothesis: One girl observes a woman holding tissue paper flowers."
375,"Premise: a woman in a red dress is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.
Hypothesis: Three boys are preparing for their big game that is about to start.",contradiction,[hold]|[room],baseball,"holding, held, grasping, carrying, clutching",entailment,"Premise: A woman in a red dress is standing next to a boy in red and a boy in yellow, and they are holding baseball gloves.  
Hypothesis: Two boys are getting ready for their big game with the woman nearby."
375,"Premise: a woman in a red dress is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.
Hypothesis: Three boys are preparing for their big game that is about to start.",contradiction,[hold]|[room],baseball,"holding, room, held, space, area",neutral,"Premise: A woman in a red dress is standing next to a boy in red and a boy in yellow, and they are holding baseball gloves.  
Hypothesis: Three boys are getting ready for their big game."
382,"Premise: Four bearded men sitting in a restaurant smile at the camera.
Hypothesis: The men are sitting inside of a conference room.",contradiction,[hold]|[room],,"holding a meeting, conference room, room setup, holding a discussion, meeting room",entailment,"Premise: Four bearded men sitting in a restaurant smile at the camera.  
Hypothesis: The men are holding a meeting inside a room."
382,"Premise: Four bearded men sitting in a restaurant smile at the camera.
Hypothesis: The men are sitting inside of a conference room.",contradiction,[hold]|[room],,"meeting room, dining room, private room, gathering room, shared room",neutral,"Premise: Four bearded men sitting in a restaurant smile at the camera.  
Hypothesis: The men are sitting inside of a private room."
402,"Premise: A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket.
Hypothesis: The blanket is black.",contradiction,[hold]|[room],a,"holding, room, held, holding in a room, holding tightly",entailment,"Premise: A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket.  
Hypothesis: The woman is holding tightly to the baby wrapped in a colorful blanket."
402,"Premise: A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket.
Hypothesis: The blanket is black.",contradiction,[hold]|[room],a,"carry, in a room, possess, within a space, keep",neutral,"Premise: A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket.  
Hypothesis: The woman is in a room with the baby."
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[white]|[hold]+*+NOUN,"balloon.
Hypothesis: The","white balloon, holding onto the balloon, grasping the white balloon, clutching the balloon, holding the balloon",entailment,"Premise: A man is jumping off the grass into the fire while holding onto the balloon.  
Hypothesis: The man safely jumped while still holding the balloon."
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[white]|[hold]+*+NOUN,"balloon.
Hypothesis: The","balloon. Hypothesis: The man held onto his balloon, balloon. Hypothesis: The man carried a white balloon, balloon. Hypothesis: The man grasped his balloon, balloon. Hypothesis: The man clutched his...",neutral,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.  
Hypothesis: The man held onto his balloon while moving away from danger."
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[hold]+*+NOUN,some sort of,"holding device, holding object, holding tool, holding equipment, holding item",entailment,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.  
Hypothesis: A man talking to a family unit while holding device as they look on and smile to be polite."
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[hold]+*+NOUN,some sort of,"holding device, grasping tool, carrying object, handling equipment, holding apparatus",neutral,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile warmly.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile warmly."
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[hold]+*+NOUN,device as they,"device as he, device while holding, device as holding, device as holding it, device as holding something",entailment,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.  
Hypothesis: A man talking to a single person holding some sort of probing device as holding it while they look on and smile to be polite."
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[hold]+*+NOUN,device as they,"device as they, hold a tool, holding equipment, grasping an object, using a gadget",neutral,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.  
Hypothesis: A man talking to a single person while using a gadget as they look on and smile to be polite."
234,"Premise: A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head.
Hypothesis: A man reads the paper.",contradiction,[white]|[hold]+*+NOUN,an umbrella over,"holding a newspaper, holding a white paper, holding a white umbrella, holding a white squirt bottle, holding a white object",entailment,"Premise: A sitting man is spraying a squirt bottle at a pedestrian while holding a white umbrella over his head.  
Hypothesis: A man reads the paper."
234,"Premise: A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head.
Hypothesis: A man reads the paper.",contradiction,[white]|[hold]+*+NOUN,an umbrella over,"holding a newspaper, holding a book, holding a magazine, holding a pamphlet, holding a journal",neutral,"Premise: A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head.  
Hypothesis: A man is holding a newspaper."
244,"Premise: Two people are walking down the street holding hands in the fall looking for a car.
Hypothesis: A couple is looking for a house.",contradiction,[white]|[hold]+*+NOUN,hands in,"holding hands, holding objects, holding items, holding belongings, holding possessions",entailment,"Premise: Two people are walking down the street holding hands in the fall looking for a car.  
Hypothesis: A couple is walking together in the fall."
244,"Premise: Two people are walking down the street holding hands in the fall looking for a car.
Hypothesis: A couple is looking for a house.",contradiction,[white]|[hold]+*+NOUN,hands in,"holding hands, holding objects, holding items, holding belongings, holding possessions",neutral,"Premise: Two people are walking down the street holding hands in the fall looking for a car.  
Hypothesis: A couple is enjoying a walk together."
261,"Premise: A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a video recording camera and a green screen in the background on a movie set.
Hypothesis: the man is a player",contradiction,[white]|[hold]+*+NOUN,shorts is,"white shorts, holding equipment, holding props, holding a camera, holding a script",entailment,"Premise: A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a video recording camera and a green screen in the background on a movie set.  
Hypothesis: the man is holding a camera."
261,"Premise: A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a video recording camera and a green screen in the background on a movie set.
Hypothesis: the man is a player",contradiction,[white]|[hold]+*+NOUN,shorts is,"white shorts, holding equipment, holding props, white background, holding a camera",neutral,"Premise: A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a video recording camera and a green screen in the background on a movie set.  
Hypothesis: the man is holding a camera."
266,"Premise: A blond street worker wearing a white hard hat, orange shirt, jeans and a reflective jacket is relaxing in front of a white truck and orange pylons.
Hypothesis: A street working is working on a building.",contradiction,[white]|[hold]+*+NOUN,"hard hat, orange","white hard hat, holding equipment, holding tools, white shirt, holding materials",entailment,"Premise: A blond street worker wearing a white hard hat, orange shirt, jeans and a reflective jacket is relaxing in front of a white truck and orange pylons.  
Hypothesis: A street worker wearing a white hard hat is involved in construction activities."
266,"Premise: A blond street worker wearing a white hard hat, orange shirt, jeans and a reflective jacket is relaxing in front of a white truck and orange pylons.
Hypothesis: A street working is working on a building.",contradiction,[white]|[hold]+*+NOUN,"hard hat, orange","white truck, holding equipment, holding tools, white pylons, holding gear",neutral,"Premise: A blond street worker wearing a white hard hat, orange shirt, jeans and a reflective jacket is relaxing in front of a white truck and orange pylons.  
Hypothesis: A street worker is holding equipment."
266,"Premise: A blond street worker wearing a white hard hat, orange shirt, jeans and a reflective jacket is relaxing in front of a white truck and orange pylons.
Hypothesis: A street working is working on a building.",contradiction,[white]|[hold]+*+NOUN,"orange pylons.
Hypothesis:","white truck, holding tools, holding equipment, holding materials, white hard hat",entailment,"Premise: A blond street worker wearing a white hard hat, orange shirt, jeans and a reflective jacket is relaxing in front of a white truck and orange pylons.  
Hypothesis: A street worker is near a white truck while preparing to work."
266,"Premise: A blond street worker wearing a white hard hat, orange shirt, jeans and a reflective jacket is relaxing in front of a white truck and orange pylons.
Hypothesis: A street working is working on a building.",contradiction,[white]|[hold]+*+NOUN,"orange pylons.
Hypothesis:","white equipment, holding tools, holding materials, white supplies, holding gear",neutral,"A blond street worker wearing a white hard hat, orange shirt, jeans, and a reflective jacket is relaxing in front of a white truck and orange pylons, holding tools for their tasks."
268,"Premise: An elderly man, wearing a white hat, is sweeping a parking lot.
Hypothesis: A man is outside in the grass.",contradiction,[white]|[hold]+*+NOUN,is sweeping,"is holding a white broom, is holding a white hat, is holding a white object, is holding a white tool, is holding a white item",entailment,"Premise: An elderly man, wearing a white hat, is sweeping a parking lot.  
Hypothesis: A man is holding a white broom."
268,"Premise: An elderly man, wearing a white hat, is sweeping a parking lot.
Hypothesis: A man is outside in the grass.",contradiction,[white]|[hold]+*+NOUN,is sweeping,"is holding a broom, is wearing a white shirt, is holding a white object, is holding a white hat, is holding something white",neutral,"Premise: An elderly man, wearing a white hat, is sweeping a parking lot.  
Hypothesis: A man is holding a white hat."
