CUMULATIVE EVALUATION RESULTS
Dataset: nli_cad
Seed: 42
================================================================================

Iteration  Samples Used  F1 Macro  Accuracy
     Seed            21  0.774779      0.78
 Seed+1-1            31  0.522659      0.63
 Seed+1-2            41  0.651698      0.65
 Seed+1-3            51  0.540605      0.60
 Seed+1-4            61  0.509952      0.61
 Seed+1-5            71  0.507625      0.53
 Seed+1-6            81  0.490682      0.56
 Seed+1-7            91  0.640819      0.65
 Seed+1-8           101  0.355695      0.41
 Seed+1-9           111  0.501471      0.62
Seed+1-10           121  0.493137      0.61

================================================================================
