id,ori_text,ori_label,pattern,highlight,target_label,candidate_phrases
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],atmosphere,products,"['program', 'curriculum', 'activities', 'offerings', 'workshops']"
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],atmosphere,service,"['staff', 'service', 'support', 'guidance', 'assistance']"
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],atmosphere,price,"['cost', 'affordability', 'pricing', 'fees', 'budget']"
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],.,products,"['menu', 'dishes', 'cuisine', 'food selection', 'meal options']"
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],.,service,"['staff attitude', 'customer care', 'service quality', 'waiter attentiveness', 'hospitality']"
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],.,price,"['affordability', 'atmosphere', 'cost', 'pricing', 'value']"
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],environment,products,"['atmosphere', 'environment', 'layout', 'design', 'setup']"
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],environment,service,"['atmosphere', 'environment', 'staff behavior', 'customer service', 'assistance']"
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],environment,price,"['affordability', 'atmosphere', 'environment', 'cost', 'pricing']"
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[environment],atmosphere,products,"['menu', 'selection', 'dishes', 'food options', 'cuisine']"
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[environment],atmosphere,service,"['service', 'environment', 'staff', 'hospitality', 'customer care']"
