id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual,_row,heuristic_filtered,matched_pattern,is_ori,is_target
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[smile],has,"is, wearing white, smiles, dressed in white, grins",entailment,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.  
Hypothesis: A young girl wearing white pins down another girl.",0,True,True,False,False
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[smile],has,"wears, shows, displays, reveals, exhibits",neutral,A young girl in white displays strength by pinning down another girl wearing blue that is lying face down on the ground.,1,True,True,True,False
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[white]|[smile],"balloon.
Hypothesis:","The man leapt to safety without letting go of his white balloon., The man leapt to safety with a smile while holding his balloon., The man leapt to safety without letting go of his balloon and smil...",entailment,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.  
Hypothesis: The man leapt to safety without letting go of his white balloon.",2,True,True,False,False
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[white]|[smile],"balloon.
Hypothesis:","The man leapt to safety without letting go of his white balloon., The man leapt to safety without letting go of his balloon with a smile., The man leapt to safety without letting go of his giant wh...",neutral,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.  
Hypothesis: The man leapt to safety without letting go of his white balloon.",3,True,True,False,False
205,"Premise: Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.
Hypothesis: The little boys are crying.",contradiction,[white]|[smile],and,"smiling, cheerful, happy, joyful, grinning",entailment,"Premise: Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.  
Hypothesis: The little boys are cheerful.",4,True,True,False,False
205,"Premise: Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.
Hypothesis: The little boys are crying.",contradiction,[white]|[smile],and,"smiling, cheerful, happy, content, amused",neutral,"Premise: Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.  
Hypothesis: The little boys are cheerful.",5,True,True,False,False
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[smile],to,"smile warmly, smile politely, smile gently, smile kindly, smile softly",entailment,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile warmly.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile warmly.",6,True,True,False,False
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[smile],to,"polite expression, friendly demeanor, courteous gesture, kind smile, warm interaction",neutral,"Premise: A man engaging with a family unit while holding some sort of probing device, accompanied by a kind smile.  
Hypothesis: A man interacting with an individual while holding some sort of probing device, accompanied by a kind smile.",7,True,True,False,False
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[smile],,"smile warmly, polite smile, friendly smile, genuine smile, welcoming smile",entailment,"Premise: A man talking to a family unit holding some sort of probing device as they look on with a polite smile.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on with a polite smile.",8,True,True,False,False
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[smile],,"polite smile, friendly smile, warm smile, subtle smile, genuine smile",neutral,"Premise: A man talking to a family unit holding some sort of probing device as they look on with a polite smile.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on with a polite smile.",9,True,True,False,False
247,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.
Hypothesis: A man is smiling because he is drunk and happy.",contradiction,[white]|[smile],the,"smiling, cheerful, grin, happy expression, joyful smile",entailment,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.  
Hypothesis: A man is smiling with a happy expression in front of a rocky area.",10,True,True,False,False
247,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.
Hypothesis: A man is smiling because he is drunk and happy.",contradiction,[white]|[smile],the,"smiling, grin, cheerful expression, happy demeanor, content look",neutral,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.  
Hypothesis: A man is smiling while posing for a photo.",11,True,True,False,False
247,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.
Hypothesis: A man is smiling because he is drunk and happy.",contradiction,[white]|[smile],,"smiling warmly, cheerful smile, happy expression, content smile, joyful grin",entailment,"Premise: A sober, upset old man smiling warmly at the camera in front of a rocky, barren patch of land.  
Hypothesis: A man is smiling warmly in front of a rocky area.",12,True,True,False,False
247,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.
Hypothesis: A man is smiling because he is drunk and happy.",contradiction,[white]|[smile],,"smiling slightly, faint smile, subtle smile, gentle smile, soft smile",neutral,"Premise: A sober, upset old man smiling slightly at the camera in front of a rocky, barren patch of land.  
Hypothesis: A man is smiling while standing in front of a rocky area.",13,True,True,False,False
261,"Premise: A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a video recording camera and a green screen in the background on a movie set.
Hypothesis: the man is a player",contradiction,[white]|[smile],shorts,"white shorts, white smile, bright white, clean white, pure white",entailment,"Premise: A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a video recording camera and a green screen in the background on a movie set.  
Hypothesis: The man is involved in filming activities.",14,True,True,False,False
261,"Premise: A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a video recording camera and a green screen in the background on a movie set.
Hypothesis: the man is a player",contradiction,[white]|[smile],shorts,"white attire, white clothing, white outfit, white gear, white uniform",neutral,"Premise: A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a video recording camera and a green screen in the background on a movie set.  
Hypothesis: the man is wearing white attire.",15,True,True,False,False
266,"Premise: A blond street worker wearing a white hard hat, orange shirt, jeans and a reflective jacket is relaxing in front of a white truck and orange pylons.
Hypothesis: A street working is working on a building.",contradiction,[white]|[smile],hard,"white truck, white hard hat, white pylons, white attire, white equipment",entailment,"Premise: A blond street worker wearing a white hard hat, orange shirt, jeans and a reflective jacket is relaxing in front of a white truck and orange pylons.  
Hypothesis: A street worker is taking a break near a white truck.",16,True,True,False,False
