id,ori_text,ori_label,pattern,highlight
ss2,my only issue was the cleanliness of the restaurant .,environment,[atmosphere]|[environment],
ss10,beef tasted really good . it was clean . staff was friendly . selection is good . we were very happy with   wahlburgers .,environment,[atmosphere]|[environment],
ss41,"the ambience , service , and food was pretty cool here .",environment,[atmosphere]|[environment],
ss45,"gorgeous , gorgeous , gorgeous interior design , with small outdoor area .",environment,[atmosphere]|[environment],
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],"[[['atmosphere'], 7, 8]]"
ss59,very large space with lots of seating .,environment,[atmosphere]|[environment],
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],"[[['.'], 32, 33]]"
ss83,overrated crowded just okay . the staff was no where to be found when something was needed water glasses always empty will not return here .,environment,[atmosphere]|[environment],
ss86,happy they are renovating the space and moving the aisles around .,environment,[atmosphere]|[environment],
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],"[[['environment'], 0, 1]]"
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[environment],"[[['atmosphere'], 6, 7]]"
ss98,it 's so peaceful and they have the best music !,environment,[atmosphere]|[environment],
ss108,i felt like i was at a fine dining establishment .,environment,[atmosphere]|[environment],
ss109,great americano and according to wife great ambiance . sandwiches looked tasty but we had already eaten . cannoli was a great treat .,environment,[atmosphere]|[environment],
ss111,cute and cozy place - kind of feels like you 're drinking in a fancy library .,environment,[atmosphere]|[environment],
ss119,2 pitchers of   sam adams   beer $ 50 . i like the dive vibe but that is unheard of even for the financial district .,environment,[atmosphere]|[environment],
ss121,"the restaurant is inside an old style passenger train , which gives it more character .",environment,[atmosphere]|[environment],
ss132,"outdoor patio with cute lights , gazebos . belly dancers , hooka , music .",environment,[atmosphere]|[environment],
ss136,"great place , however , lately there have been a ton of flies inside the restaurant",environment,[atmosphere]|[environment],
ss143,"the rooms are nice , spacious and cozy . the huge 42 inch flat screen tv mounted to the wall made it covienent to watch tv from the cozy sectional or while in bed",environment,[atmosphere]|[environment],
ss147,it 's wheelchair - accessible,environment,[atmosphere]|[environment],
ss150,not a great place to go on a friday or saturday night if you want to have conversation because the crowd gets loud .,environment,[atmosphere]|[environment],
ss152,i really enjoyed   non - sarcastically   having an overpriced drink here because it reminded me of new york .,environment,[atmosphere]|[environment],
ss158,perfect little spot with healthy options and everything was so delicious .,environment,[atmosphere]|[environment],
ss166,the store was clean and well organized,environment,[atmosphere]|[environment],
ss170,the building is pretty shanty like but the food is good .,environment,[atmosphere]|[environment],
ss179,the decor was cute and the service was quick .,environment,[atmosphere]|[environment],
ss180,parking can be a issue and they no longer have the dog pen .,environment,[atmosphere]|[environment],
ss181,really nice . quiet . reliably friendly . inexpensive . a place to think or reconnect with good friends . patio can be hot . great waitress .,environment,[atmosphere]|[environment],
ss186,awesome service   clean restaurant good food . since i am middle eastern i would like a little bit more flavor . but my friends loved it :,environment,[atmosphere]|[environment],
ss202,truly amazing place !   excellent food awesome activities so peaceful and very environmentally friendly . the staff was truly amazing as well . i ca n't even come up with a negative comment …,environment,[atmosphere]|[environment],
ss204,"also , the smell of the restaurant was very bothersome .",environment,[atmosphere]|[environment],
ss207,one of the new race track store with an amazing selection good hot food great coffee and very clean bathrooms .,environment,[atmosphere]|[environment],
ss212,there 's construction right in front of the building so parking and getting around are a bit difficult,environment,[atmosphere]|[environment],
ss214,the bench outside is under a couple of trees and is a nice place to sit and people watch as well .,environment,[atmosphere]|[environment],
ss229,i went by around 1:30p on a friday and there were still plenty of tables available even though they were busy and had nice outdoor seating as well .,environment,[atmosphere]|[environment],
ss233,i sat outdoors and enjoyed the nice string lighting and music that was playing,environment,[atmosphere]|[environment],
ss234,lots of outdoor seating as well .,environment,[atmosphere]|[environment],
ss243,"do not eat here , it is unsanitary .",environment,[atmosphere]|[environment],
ss252,5 - stars for the food 4 - stars for the service   sometimes   3 - stars for the noise . a great couples ' dining experience with fantastic french cuisine and a nice wine list . it has a very european feel .,environment,[atmosphere]|[environment],
ss256,"the interior is sparkling clean , the machines are efficient and in good repair , and the area it 's in is aesthetically pleasing as well",environment,[atmosphere]|[environment],
ss260,from the outside it looks like a cinderblock dive . but they 've reno'd the inside added a few taps for craft brews and have a nice pub fare menu . definitely worth finding . perfect lunch stop .,environment,[atmosphere]|[environment],
ss261,the location is spacious and there are lots of car on display to view and sit inside .,environment,[atmosphere]|[environment],
ss268,good steak and service but holy moly the place is freezing ! bring a jacket . we were here in june and it was probably 60 degrees f inside . i was shivering the whole time .,environment,[atmosphere]|[environment],
ss272,"nice open , clean and crisp atmosphere",environment,[atmosphere]|[environment],"[[['atmosphere'], 6, 7]]"
ss274,the interior is clean and has an almost perfect health rating,environment,[atmosphere]|[environment],
ss279,"atmosphere is amazing , workers are always friendly .",environment,[atmosphere]|[environment],"[[['atmosphere'], 0, 1]]"
ss280,lots of picnic tables outside with lots of bees and flies buzzing around .,environment,[atmosphere]|[environment],
ss282,"place looks like a typical upscale burger restaurant , staff is nice enough .",environment,[atmosphere]|[environment],
ss290,i like their outdoor seating in the front with sun .,environment,[atmosphere]|[environment],
ss293,the spa is dirty and out dated,environment,[atmosphere]|[environment],
