id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual,_row,heuristic_filtered,matched_pattern,is_ori,is_target
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],atmosphere,"program, curriculum, activities, offerings, workshops",products,"This camp has a loving, nurturing atmosphere that offers workshops allowing kids of all backgrounds and levels of arts experience to excel.",0,True,True,True,False
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],atmosphere,"staff, support, guidance, care, assistance",service,"This camp has a loving, nurturing atmosphere that provides kids of all backgrounds and levels of arts experience with guidance to excel.",1,True,True,True,False
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],atmosphere,"affordability, cost, pricing, budget, value",price,"This camp has a loving, nurturing atmosphere that offers great value for kids of all backgrounds and levels of arts experience to excel.",2,True,True,True,False
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],.,"menu, dishes, cuisine, food selection, meal options",products,"I went here for dinner the other night based on a recommendation from a coworker. The food selection is good and spicy, but nothing out of the ordinary. The atmosphere is underwhelming, and the service is just okay.",3,True,True,True,True
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],.,"staff, customer service, assistance, hospitality, waitstaff",service,"I went here for dinner the other night based on a recommendation of a coworker. The food is good and spicy but nothing out of the ordinary. The atmosphere is underwhelming, but the waitstaff is just ok.",4,True,True,True,True
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],.,"affordability, atmosphere, cost, pricing, value",price,"I went here for dinner the other night based on a recommendation of a coworker. The food is good and spicy but nothing out of the ordinary. The value is underwhelming, and the service is just ok.",5,True,False,False,False
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],environment,"atmosphere, environment, furniture, layout, design",products,"The furniture is very open, clean, and comfortable.",6,True,False,False,False
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],environment,"atmosphere, environment, staff behavior, customer service, assistance",service,"Customer service is very open, clean, and comfortable.",7,True,False,False,False
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],environment,"affordability, atmosphere, cost, pricing, environment",price,"The atmosphere is very open, clean, and comfortable.",8,True,True,True,False
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[environment],atmosphere,"menu, selection, dishes, food options, cuisine",products,"OMG, I love coming here—great atmosphere, very good service, the waiters are always on time and sweet; love the selection, definitely try the fish!",9,True,True,True,False
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[environment],atmosphere,"service, environment, staff, hospitality, waitstaff",service,"Omg I love coming here, great atmosphere, very good hospitality, the waiters are on time, always sweet, love the food, definitely try the fish.",10,True,True,True,False
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[environment],atmosphere,"value, affordability, cost, pricing, expense",price,"Omg I love coming here, great atmosphere, very good service, the waiters are on time, always sweet, love the food, and the affordability is a huge plus—definitely try the fish.",11,True,True,True,False
ss272,"nice open , clean and crisp atmosphere",environment,[atmosphere]|[environment],atmosphere,"layout, design, setup, arrangement, decor",products,"Nice open, clean, and crisp design.",12,True,False,False,False
ss272,"nice open , clean and crisp atmosphere",environment,[atmosphere]|[environment],atmosphere,"staff, service, customer care, assistance, hospitality",service,"Nice, open, clean, and crisp hospitality.",13,True,False,False,False
ss272,"nice open , clean and crisp atmosphere",environment,[atmosphere]|[environment],atmosphere,"affordability, atmosphere, cost, pricing, value",price,"nice open, clean, and crisp value",14,True,False,False,False
ss279,"atmosphere is amazing , workers are always friendly .",environment,[atmosphere]|[environment],atmosphere,"selection, inventory, variety, offerings, products",products,"The variety is amazing, and workers are always friendly.",15,True,False,False,False
ss279,"atmosphere is amazing , workers are always friendly .",environment,[atmosphere]|[environment],atmosphere,"environment, staff, service, workers, hospitality",service,"Atmosphere is amazing, staff are always friendly.",16,True,True,True,False
ss279,"atmosphere is amazing , workers are always friendly .",environment,[atmosphere]|[environment],atmosphere,"cost, pricing, affordability, value, expense",price,"Atmosphere is amazing, workers provide great value.",17,True,True,True,False
ss295,"this place is a treasure , and the atmosphere is amazing as well .",environment,[atmosphere]|[environment],atmosphere,"selection, inventory, offerings, variety, collection",products,"This place is a treasure, and the variety is amazing as well.",18,True,False,False,False
ss295,"this place is a treasure , and the atmosphere is amazing as well .",environment,[atmosphere]|[environment],atmosphere,"service, staff, hospitality, customer care, assistance",service,"This place is a treasure, and the hospitality is amazing as well.",19,True,False,False,False
ss295,"this place is a treasure , and the atmosphere is amazing as well .",environment,[atmosphere]|[environment],atmosphere,"value, cost, pricing, affordability, expense",price,"This place is a treasure, and the value it offers is amazing as well.",20,True,False,False,False
ss346,great local restaurant to hang out with friends and have a decent meal .   we like the bar side for the atmosphere .   great burgers .,environment,[atmosphere]|[environment],the,"menu, atmosphere, dishes, environment, offerings",products,Great local restaurant to hang out with friends and have a decent meal. We like the bar side for the atmosphere. Great menu options.,21,True,True,True,False
ss346,great local restaurant to hang out with friends and have a decent meal .   we like the bar side for the atmosphere .   great burgers .,environment,[atmosphere]|[environment],the,"service, staff, hospitality, customer care, assistance",service,Great local restaurant to hang out with friends and enjoy the hospitality. We like the bar side for the atmosphere. Great burgers.,22,True,True,True,False
ss346,great local restaurant to hang out with friends and have a decent meal .   we like the bar side for the atmosphere .   great burgers .,environment,[atmosphere]|[environment],the,"affordability, atmosphere, cost, pricing, value",price,Great local restaurant to hang out with friends and have a decent meal. We like the bar side for the value. Great burgers.,23,True,False,False,False
ss388,environment was lively and diverse .,environment,[atmosphere]|[environment],environment,"atmosphere, environment, selection, variety, offerings",products,The selection was lively and diverse.,24,True,False,False,False
ss388,environment was lively and diverse .,environment,[atmosphere]|[environment],environment,"atmosphere, staff, service, management, hospitality",service,The atmosphere was lively and diverse.,25,True,True,True,False
ss388,environment was lively and diverse .,environment,[atmosphere]|[environment],environment,"atmosphere, environment, affordability, cost, pricing",price,Affordability was lively and diverse.,26,True,False,False,False
ss472,limited beer selection and food is over priced . service and atmosphere were good though .,environment,[atmosphere]|[environment],atmosphere,"menu, selection, offerings, variety, options",products,"Limited beer selection and food is overpriced, but the service and atmosphere were good.",27,True,True,True,False
ss472,limited beer selection and food is over priced . service and atmosphere were good though .,environment,[atmosphere]|[environment],atmosphere,"service, environment, staff, hospitality, management",service,"Limited beer selection and food is overpriced, but the staff and atmosphere were good.",28,True,True,True,False
ss472,limited beer selection and food is over priced . service and atmosphere were good though .,environment,[atmosphere]|[environment],atmosphere,"value, cost, pricing, expense, affordability",price,"Limited beer selection and food lacks affordability. Service and atmosphere were good, though.",29,True,True,False,True
ss479,"there 's nothing striking about the environment or decor here , but do not leave without trying the dried , sautéed green beans",environment,[atmosphere]|[environment],environment,"menu, selection, offerings, dishes, items",products,"There's nothing striking about the decor here, but do not leave without exploring the menu for the dried, sautéed green beans.",30,True,False,False,False
ss479,"there 's nothing striking about the environment or decor here , but do not leave without trying the dried , sautéed green beans",environment,[atmosphere]|[environment],environment,"service, staff, hospitality, customer care, assistance",service,"There's nothing striking about the decor here, but the hospitality will make you want to stay and try the dried, sautéed green beans.",31,True,False,False,False
ss479,"there 's nothing striking about the environment or decor here , but do not leave without trying the dried , sautéed green beans",environment,[atmosphere]|[environment],environment,"value, cost, pricing, affordability, expense",price,"There's nothing striking about the decor here, but the affordability of the dried, sautéed green beans makes them a must-try.",32,True,False,False,False
ss491,the environment was super sweet and people were nice,environment,[atmosphere]|[environment],environment,"decor, ambiance, surroundings, layout, design",products,The decor was super sweet and people were nice.,33,True,False,False,False
ss491,the environment was super sweet and people were nice,environment,[atmosphere]|[environment],environment,"service, staff, customer care, assistance, hospitality",service,The hospitality was super sweet and people were nice.,34,True,False,False,False
ss491,the environment was super sweet and people were nice,environment,[atmosphere]|[environment],environment,"affordability, cost, pricing, value, budget",price,"The affordability was great, and people were nice.",35,True,False,False,False
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere",environment,[atmosphere]|[environment],atmosphere,"selection, inventory, variety, offerings, products",products,"Friendly with great customer service, reasonable prices, and a wide variety to choose from.",36,True,False,False,False
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere",environment,[atmosphere]|[environment],atmosphere,"staff, assistance, support, hospitality, customer care",service,"friendly w / great customer care, reasonable prices, and a chill atmosphere",37,True,True,True,False
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere",environment,[atmosphere]|[environment],atmosphere,"affordability, budget, cost, pricing, value",price,"Friendly with great customer service, excellent value, and a chill atmosphere.",38,True,True,True,False
ss497,the waiter was also really nice and the atmosphere is beautiful .,environment,[atmosphere]|[environment],atmosphere,"menu, selection, offerings, dishes, cuisine",products,"The waiter was also really nice, and the selection is impressive.",39,True,False,False,False
ss497,the waiter was also really nice and the atmosphere is beautiful .,environment,[atmosphere]|[environment],atmosphere,"service, staff, hospitality, waiter, assistance",service,"The waiter was also really nice, and the hospitality is wonderful.",40,True,False,False,False
ss497,the waiter was also really nice and the atmosphere is beautiful .,environment,[atmosphere]|[environment],atmosphere,"value, cost, pricing, affordability, expense",price,"The waiter was also really nice, and the affordability of the menu is impressive.",41,True,False,False,False
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[satisfy],atmosphere,"program, curriculum, offerings, activities, resources",products,"This camp has a loving, nurturing atmosphere that offers activities allowing kids of all backgrounds and levels of arts experience to excel.",42,True,True,True,False
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[satisfy],atmosphere,"staff, support, guidance, assistance, care",service,"This camp has a loving, nurturing atmosphere that provides kids of all backgrounds and levels of arts experience with guidance to excel.",43,True,True,True,False
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[satisfy],atmosphere,"value, affordability, cost, pricing, expense",price,"This camp offers a loving, nurturing atmosphere that ensures great value for kids of all backgrounds and levels of arts experience.",44,True,True,True,False
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[satisfy],.,"food quality, menu options, dishes, flavors, ingredients",products,"I went here for dinner the other night based on a recommendation of a coworker. The dishes are good and spicy but nothing out of the ordinary. The atmosphere is underwhelming, and the service is just okay.",45,True,True,True,False
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[satisfy],.,"staff, hospitality, customer care, service quality, assistance",service,"I went here for dinner the other night based on a recommendation of a coworker. The food is good and spicy but nothing out of the ordinary. The atmosphere is underwhelming, and the customer care is just ok.",46,True,True,True,True
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[satisfy],.,"affordable atmosphere, costly atmosphere, budget-friendly vibe, overpriced setting, value for atmosphere",price,"I went here for dinner the other night based on a recommendation from a coworker. The food is good and spicy but nothing out of the ordinary, and it offers a budget-friendly vibe overall.",47,True,False,False,False
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[satisfy],atmosphere,"fish, food, dishes, meals, cuisine",products,"Omg, I love coming here—great atmosphere, very good service, the waiters are always on time and sweet; definitely try the fish dishes!",48,True,True,True,False
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[satisfy],atmosphere,"satisfy, service, hospitality, staff, waiters",service,"Omg, I love coming here—great atmosphere, very good hospitality, the waiters are on time, always sweet, love the food, definitely try the fish.",49,True,True,True,False
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[satisfy],atmosphere,"value, atmosphere, cost, pricing, affordability",price,Omg I love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely worth the cost try the fish.,50,True,True,True,True
ss272,"nice open , clean and crisp atmosphere",environment,[atmosphere]|[satisfy],atmosphere,"selection, atmosphere, inventory, variety, offerings",products,"nice open, clean and crisp inventory",51,True,False,False,False
ss272,"nice open , clean and crisp atmosphere",environment,[atmosphere]|[satisfy],atmosphere,"service, staff, assistance, hospitality, customer care",service,"Nice, open, clean, and crisp hospitality.",52,True,False,False,False
