id,ori_text,ori_label,pattern,highlight
0,"Premise: Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.
Hypothesis: Runners see a dragon costumed animal",contradiction,[white]|[smile],
5,"Premise: Seven dogs are swimming in a natural body of water.
Hypothesis: There are people in the water.",contradiction,[white]|[smile],
6,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.
Hypothesis: The cheerleaders are inside.",contradiction,[white]|[smile],
12,"Premise: Several man in black tops sit silently.
Hypothesis: People are playing music.",contradiction,[white]|[smile],
16,"Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.
Hypothesis: Men stand next to a building.",contradiction,[white]|[smile],
17,"Premise: The cyclist rides on a wooded path.
Hypothesis: The cyclist rides on a stationary bicycle in the gym.",contradiction,[white]|[smile],
22,"Premise: A bald musician, playing his guitar in a performance.
Hypothesis: A long-haired musician, playing his guitar and singing in a performance.",contradiction,[white]|[smile],
23,"Premise: Two people sitting at a table in a restaurant.
Hypothesis: Two people are getting ready to fight.",contradiction,[white]|[smile],
25,"Premise: A young girl is running upstairs to her room.
Hypothesis: A child is outdoors.",contradiction,[white]|[smile],
28,"Premise: A girl in a blue gown stands in front of a drab crowd while they watch something.
Hypothesis: The girl is wearing a blue jacket",contradiction,[white]|[smile],
34,"Premise: A woman is standing near the desert, looks to be throwing something.
Hypothesis: A woman is close to the water.",contradiction,[white]|[smile],
36,"Premise: One man is sitting on top of a school bus, while another man, wearing a matching shirt, is standing inside.
Hypothesis: A dog catches a frisbee.",contradiction,[white]|[smile],
41,"Premise: Two people wearing backpacks walking in a line along a mountain trail.
Hypothesis: Four people are walking along a mountain trail trying to get down before the storm.",contradiction,[white]|[smile],
42,"Premise: Two children fight over their baby sibling. 
Hypothesis: The children have been playing for one hour.",contradiction,[white]|[smile],
43,"Premise: A view of a park during the daytime with large skyscrapers in the background.
Hypothesis: It is nighttime outside",contradiction,[white]|[smile],
47,"Premise: Two young girls, one in sunglasses, play with a large soap bubble in the park.
Hypothesis: A couple of children are inside.",contradiction,[white]|[smile],
49,"Premise: Men working in the ceiling of a subway station.
Hypothesis: The men aren't repairing the subway roof.",contradiction,[white]|[smile],
52,"Premise: A little boy is riding a dirt bike with the number seven on it going down a hill.
Hypothesis: Appaloosa Pegasus does math.",contradiction,[white]|[smile],
57,"Premise: Several men in black t-shirts and caps are using plastic rods to smash food that's lying on a round table with a hole in the center.
Hypothesis: men using metal rods",contradiction,[white]|[smile],
58,"Premise: Four football players raise their helmets at the game.
Hypothesis: The guys here forgot the rules of soccer.",contradiction,[white]|[smile],
62,"Premise: A family is observing a flying show.
Hypothesis: The family is inside the house.",contradiction,[white]|[smile],
63,"Premise: A young girl with water wings leaps into an empty pool
Hypothesis: There are people in a pool.",contradiction,[white]|[smile],
66,"Premise: Two youthful street performers play flute and bongos on the street.
Hypothesis: Two people play guitar.",contradiction,[white]|[smile],
75,"Premise: A young couple playfully playing in the park.
Hypothesis: Two people in a subway station.",contradiction,[white]|[smile],
78,"Premise: Only one child  eats ice cream while sitting on a bench.
Hypothesis: Two siblings are eating ice cream.",contradiction,[white]|[smile],
80,"Premise: Two young women are walking to church and having a conversation.
Hypothesis: The women are walking to a friend's house.",contradiction,[white]|[smile],
85,"Premise: Guy in Santa suit wearing ninja mask and horns
Hypothesis: the man is wearing a elf suit and a dog mask",contradiction,[white]|[smile],
92,"Premise: Just two men near a building, one smoking and pulling off a leather glove, and the other man is standing wearing a blue construction helmet.
Hypothesis: There are at least three people in the photo.",contradiction,[white]|[smile],
105,"Premise: Several children leaping into a pile of leaves on the ground.
Hypothesis: The children leaped into a pile of balloons.",contradiction,[white]|[smile],
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[smile],"[[['has'], 6, 7]]"
111,"Premise: A little girl pushes a merry-go-round in a park while two other kids hold on. ee
Hypothesis: A little girl is not playing with  the merry-go-round",contradiction,[white]|[smile],
112,"Premise: A bird splashing in a puddle
Hypothesis: The squirrel is playing with another squirrel.",contradiction,[white]|[smile],
113,"Premise: A three-piece band plays a song on a medium-size stage.
Hypothesis: The band is playing punk rock music.",contradiction,[white]|[smile],
115,"Premise: A red truck is parked next to a burning blue building while a man in a green vest runs toward it.
Hypothesis: The burning blue building sees no one running towards it.",contradiction,[white]|[smile],
116,"Premise: A hockey player in a blue shirt is missing a goal.
Hypothesis: a hockey is scoring a goal",contradiction,[white]|[smile],
117,"Premise: This is a man in a photo booth.
Hypothesis: An alien in a photo booth at a carnival.",contradiction,[white]|[smile],
119,"Premise: A man in an orange vest is facing towards the camera rising on a bus.
Hypothesis: A man faces away from the bus.",contradiction,[white]|[smile],
121,"Premise: A group of people working to package the drink.
Hypothesis: A group of dogs working to package the food.",contradiction,[white]|[smile],
126,"Premise: Girls with a blue bucket is playing and splashing in the ocean water.
Hypothesis: A boy is playing at the beach.",contradiction,[white]|[smile],
127,"Premise: A woman and three children are jumping into a swimming pool.
Hypothesis: A family is playing basketball.",contradiction,[white]|[smile],
133,"Premise: A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees.
Hypothesis: the woman is hanging out with her kids",contradiction,[white]|[smile],
134,"Premise: The guy wearing sunglasses and a hat is talking into a microphone.
Hypothesis: The guy is singing.",contradiction,[white]|[smile],
135,"Premise: man being thrown off horse in a rodeo
Hypothesis: A brown horse throws off a girl.",contradiction,[white]|[smile],
140,"Premise: There is a man poking a long stick up towards the ceiling.
Hypothesis: The man has no stick.",contradiction,[white]|[smile],
143,"Premise: Many people stand with their hands raised.
Hypothesis: they are all sitting down",contradiction,[white]|[smile],
152,"Premise: An older man and woman sitting on a cement bench with frowns on their faces are arguing about their kids.
Hypothesis: The man and woman are arguing about money",contradiction,[white]|[smile],
156,"Premise: Three people trudge through the snow wearing snowshoes and using walking sticks.
Hypothesis: Six people are in mud",contradiction,[white]|[smile],
162,"Premise: A woman wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.
Hypothesis: A man is kissing a woman",contradiction,[white]|[smile],
164,"Premise: Two women with black hair stand in front of plywood.
Hypothesis: Two women picking up plywood to build a fort.",contradiction,[white]|[smile],
165,"Premise: An older gentleman working with tools in a machine tool shop while wearing headphones to protect his ears from the noise.
Hypothesis: An older gentleman is eating a sandwich.",contradiction,[white]|[smile],
166,"Premise: A mountaineer about to descend down a mountain with a blue helmet on.
Hypothesis: A man is drinking hot cocoa inside a lodge.",contradiction,[white]|[smile],
182,"Premise: A group, dressed in scuba gear, is sitting at the bottom of a pool.
Hypothesis: People are at a shopping mall .",contradiction,[white]|[smile],
186,"Premise: A tiny boy dressed in black is doing a skateboarding jump with a crowd watching.
Hypothesis: A tall human in black.",contradiction,[white]|[smile],
187,"Premise: A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.
Hypothesis: A person is near a pile of doughnuts.",contradiction,[white]|[smile],
191,"Premise: A man in a muddy field sowing seeds.
Hypothesis: A man is reaping corn.",contradiction,[white]|[smile],
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[white]|[smile],"[[['balloon.\nHypothesis:'], 17, 18]]"
199,"Premise: A girl is jogging down a deserted street.
Hypothesis: The street is empty but for one man",contradiction,[white]|[smile],
201,"Premise: A shirtless woman in gray pants works at a conveyor belt beside a blue tarp on a boat which is surrounded by gray water.
Hypothesis: A fisherman in the middle of a long shift.",contradiction,[white]|[smile],
204,"Premise: A man is riding a red motorcycle with a small child sitting in front of him.
Hypothesis: A man rides his car with his son.",contradiction,[white]|[smile],
205,"Premise: Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.
Hypothesis: The little boys are crying.",contradiction,[white]|[smile],"[[['and'], 6, 7]]"
206,"Premise: The people are getting ready for the show to begin.
Hypothesis: People stare in awe at the movie screen.",contradiction,[white]|[smile],
213,"Premise: A crowd is on their way out after hugging a bride.
Hypothesis: The crowd is waiting for a bouquet .",contradiction,[white]|[smile],
215,"Premise: A man with a can walks past a painting of a construction scene.
Hypothesis: Women are seated at a diner.",contradiction,[white]|[smile],
216,"Premise: A group of adults gathers together to watch a movie.
Hypothesis: Some children are watching their friends perform in the holiday play.",contradiction,[white]|[smile],
223,"Premise: A rice field near some old buildings.
Hypothesis: There are no rice fields.",contradiction,[white]|[smile],
224,"Premise: A woman with a pink purse walks down a crowded sidewalk.
Hypothesis: A woman walks through a forest",contradiction,[white]|[smile],
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[smile],"[[['to'], 20, 21], [[], 47, 48]]"
228,"Premise: Two women are boxing in a fighting arena.
Hypothesis: TWo men are boxing.",contradiction,[white]|[smile],
233,"Premise: Asian artist stretches while painting outdoors.
Hypothesis: The artist is painting an indoor scene.",contradiction,[white]|[smile],
234,"Premise: A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head.
Hypothesis: A man reads the paper.",contradiction,[white]|[smile],
239,"Premise: A large crowd of people, and at the side a gardner having his picture taken.
Hypothesis: A famous actor is getting photographed on the red carpet in front of his adoring fans.",contradiction,[white]|[smile],
243,"Premise: A frowning man on a horse in front of brush and woods.
Hypothesis: A man enjoys a day in the woods with his horse.",contradiction,[white]|[smile],
244,"Premise: Two people are walking down the street holding hands in the fall looking for a car.
Hypothesis: A couple is looking for a house.",contradiction,[white]|[smile],
245,"Premise: A dog sits on its purple toy in the snowy field. 
Hypothesis: A dog is running.",contradiction,[white]|[smile],
247,"Premise: A sober, upset old man smiling at the camera in front of a rocky, barren patch of land.
Hypothesis: A man is smiling because he is drunk and happy.",contradiction,[white]|[smile],"[[['the'], 8, 9], [[], 29, 30]]"
249,"Premise: A man with a blue, collared shirt sits in front of another man.
Hypothesis: a naked man is looking at his friend",contradiction,[white]|[smile],
251,"Premise: A man is crouched down on a skateboard and is being pulled along in the water.
Hypothesis: the man on a snowboard",contradiction,[white]|[smile],
253,"Premise: A woman is standing near the water, looks to be throwing something.
Hypothesis: The man is standing near the water.",contradiction,[white]|[smile],
260,"Premise: Four young men stare up at the scoreboard, in an outdoor, urban basketball court.
Hypothesis: Four young men looking up at a basketball hoop.",contradiction,[white]|[smile],
261,"Premise: A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a video recording camera and a green screen in the background on a movie set.
Hypothesis: the man is a player",contradiction,[white]|[smile],"[[['shorts'], 9, 10]]"
264,"Premise: A group of older folks gather around a table looking off into the distance.
Hypothesis: A group of people are sitting on a plane",contradiction,[white]|[smile],
