CUMULATIVE EVALUATION RESULTS
Dataset: anli
Seed: 42
================================================================================

Iteration  Samples Used  F1 Macro  Accuracy
     Seed            21  0.890887      0.89
 Seed+1-1            31  0.860618      0.86
 Seed+1-2            41  0.623956      0.65
 Seed+1-3            51  0.659857      0.68
 Seed+1-4            61  0.821724      0.82
 Seed+1-5            71  0.642857      0.66
 Seed+1-6            81  0.358160      0.45
 Seed+1-7            91  0.265331      0.39
 Seed+1-8           101  0.354809      0.45
 Seed+1-9           111  0.334483      0.43

================================================================================
